year,Date,S&P 100,S&P 500,S&P 600,Dow Jones,Nasdaq,Russell 2000,Barron's 400,Wilshire 5000
187,5-Aug-2016,1.00537561736418,1.004264814133235,1.0036156885937793,1.0060377903065496,1.0114274533961756,1.0093119333737723,1.0061808539818964,1.003853470714963
188,12-Aug-2016,0.9995759731932321,1.0005405727322287,0.9966384078642506,1.0017763608115609,1.0022543055896054,0.9987980183545846,0.9970194282391001,1.0005403079042954
189,19-Aug-2016,0.9982307477418754,0.9999175843043885,1.006302408084283,0.9987134261783858,1.0010491334616245,1.0056512335138477,1.00410142364972,0.9998896836902229
190,26-Aug-2016,0.9940505804311774,0.9932093027515374,1.0040862656072644,0.9915283974134043,0.9962851110457813,1.0010187827971249,1.0021058746641491,0.9942856075162168
191,2-Sep-2016,1.0048067899818574,1.0050437059713053,1.013246266175473,1.0052491383715494,1.0059360940577744,1.0111467411936705,1.0085507246376813,1.0065311312633445
192,9-Sep-2016,0.9781564228418442,0.976068587785209,0.9712549385065694,0.9780169327642934,0.9763824072839483,0.9739421486943116,0.9748886334243425,0.97606225148194
193,16-Sep-2016,1.0065561944367825,1.0053341228775126,1.000716245253186,1.0021204891224713,1.023149060361965,1.00456853208225,1.0020083281129086,1.0043443311692897
194,23-Sep-2016,1.0096437605396291,1.0119345911479274,1.0255097906819717,1.0075949855990467,1.0116653986885484,1.02436355916981,1.0151334056598567,1.0134210080017267
195,30-Sep-2016,1.0007620439480138,1.0016538164818056,0.9967210524236558,1.0025572996667844,1.0011779672996277,0.9976327493583717,0.9983878563924211,1.000791992021016
196,7-Oct-2016,0.9962552676596989,0.9932988050381178,0.9896419606288809,0.9963043781048331,0.9963102409638553,0.9879439140334757,0.9961354935863708,0.9923644429302692
197,14-Oct-2016,0.9914144216775382,0.9903609535041371,0.9834726190158332,0.9944020144195688,0.9852165369208677,0.9804700135860777,0.9833345475739473,0.990094897058565
198,21-Oct-2016,1.0029253661988193,1.00383501017356,0.9962127382309823,1.0004041154722747,1.0082928026757905,1.004693131861334,1.0025005093630184,1.0038533330785073
199,28-Oct-2016,0.9954299433481457,0.9931112107455772,0.9792066931011459,1.0008530942024314,0.9871989957012973,0.9749692143502176,0.982909614958244,0.9914326355842081
200,4-Nov-2016,0.977277535649304,0.980610512554023,0.984052989716544,0.984972901004835,0.9723068919673994,0.9796482010087488,0.9835147277204459,0.980645553611876
201,11-Nov-2016,1.0377121579494284,1.0380159027038434,1.1055898864488032,1.0536317633668526,1.0377974662975564,1.1022399092346833,1.0828905622873743,1.0431780829582038
202,18-Nov-2016,1.0046417991404848,1.0080620942964726,1.0270643609945769,1.0010754650709957,1.0161157585003944,1.0259281497828274,1.0264918194814592,1.0110828345454415
203,25-Nov-2016,1.0125839710111824,1.014414042806728,1.0277459526774595,1.0150631256316935,1.0145466230449627,1.0239883250737283,1.0228679504814304,1.01608242519188
204,2-Dec-2016,0.9908023583696488,0.9903313981069419,0.9806974602559132,1.0009544625300357,0.9734632111607506,0.975541864608076,0.9802655908556059,0.9898329550600953
205,9-Dec-2016,1.0307778283727285,1.0308309952325556,1.059492185086798,1.0305903574360917,1.0359327580794004,1.0561689176336313,1.047945675286371,1.0327540080510436
206,16-Dec-2016,1.0038854641473063,0.9993538479241258,0.9819708454810495,1.0043812652320587,0.9986518504913214,0.9827962566729345,0.9858129336300564,0.9972580131724315
207,23-Dec-2016,1.0026302893318264,1.0025331367052392,1.0035390242743814,1.0045556686073613,1.0046954660153462,1.0053658214764805,1.007867872852519,1.0030239238206762
